antecedents,consequents,support,lift,confidence
frozenset({'Carbonated Drinks - CSD'}),frozenset({'Bottled Water'}),0.014392097829874242,0.7947323916188384,0.1338507700934013
frozenset({'Bottled Water'}),frozenset({'Carbonated Drinks - CSD'}),0.014392097829874242,0.7947323916188384,0.08545237596142993
frozenset({'Bottled Water'}),frozenset({'Cold Beverages'}),0.013647983327489953,0.6757539752948886,0.08103423254913975
frozenset({'Cold Beverages'}),frozenset({'Bottled Water'}),0.013647983327489953,0.6757539752948886,0.11381213467674907
frozenset({'Energy Drinks'}),frozenset({'Bottled Water'}),0.011106859459311195,0.8149282390153132,0.13725220402917004
frozenset({'Bottled Water'}),frozenset({'Energy Drinks'}),0.011106859459311195,0.8149282390153132,0.06594643404227873
frozenset({'Bottled Water'}),frozenset({'Gondola bakery'}),0.010547958858615257,0.9304779986960635,0.06262798909976297
frozenset({'Gondola bakery'}),frozenset({'Bottled Water'}),0.010547958858615257,0.9304779986960634,0.15671337672136568
frozenset({'Bottled Water'}),frozenset({'Instant Noodles'}),0.018407328821754432,0.7207866786729662,0.10929261331570377
frozenset({'Instant Noodles'}),frozenset({'Bottled Water'}),0.018407328821754432,0.7207866786729661,0.12139665254730583
frozenset({'Bottled Water'}),frozenset({'Non-potato Chips'}),0.012659994802061468,0.877758288123954,0.07516809906960994
frozenset({'Non-potato Chips'}),frozenset({'Bottled Water'}),0.012659994802061468,0.877758288123954,0.147834194327901
frozenset({'Bottled Water'}),frozenset({'Other Cuisine'}),0.01024298054249206,0.6987688549674964,0.06081719528516374
frozenset({'Other Cuisine'}),frozenset({'Bottled Water'}),0.01024298054249206,0.6987688549674964,0.11768835691240068
frozenset({'Bottled Water'}),frozenset({'Potato Chips'}),0.010561809165046497,0.9414815248625057,0.06271022461583114
frozenset({'Potato Chips'}),frozenset({'Bottled Water'}),0.010561809165046497,0.9414815248625056,0.15856661746838127
frozenset({'Bottled Water'}),frozenset({'Rice  Offsite'}),0.01950666294790465,0.7748093875868485,0.1158198558459777
frozenset({'Rice  Offsite'}),frozenset({'Bottled Water'}),0.01950666294790465,0.7748093875868485,0.13049528910334904
frozenset({'Tea'}),frozenset({'Bottled Water'}),0.022462209710476997,0.7877090988746368,0.13266788997889145
frozenset({'Bottled Water'}),frozenset({'Tea'}),0.022462209710476997,0.7877090988746368,0.13336826999048648
frozenset({'Yogurt'}),frozenset({'Bottled Water'}),0.010656860287613834,0.841714108561412,0.14176354558788465
frozenset({'Bottled Water'}),frozenset({'Yogurt'}),0.010656860287613834,0.8417141085614122,0.06327458600061274
frozenset({'Bread  Offsite'}),frozenset({'Rice  Offsite'}),0.01453766183472022,1.9059589553986296,0.2849060620575869
frozenset({'Rice  Offsite'}),frozenset({'Bread  Offsite'}),0.01453766183472022,1.9059589553986296,0.0972537634486743
frozenset({'Carbonated Drinks - CSD'}),frozenset({'Cold Beverages'}),0.020275762316792355,1.5725122926918833,0.18857059147416436
frozenset({'Cold Beverages'}),frozenset({'Carbonated Drinks - CSD'}),0.020275762316792355,1.5725122926918835,0.16908196149569368
frozenset({'Carbonated Drinks - CSD'}),frozenset({'Energy Drinks'}),0.010739418976929463,1.2342570262459525,0.09987977551360608
frozenset({'Energy Drinks'}),frozenset({'Carbonated Drinks - CSD'}),0.010739418976929463,1.2342570262459525,0.13271158512234166
frozenset({'Carbonated Drinks - CSD'}),frozenset({'Instant Noodles'}),0.016517984079751694,1.013140685278525,0.15362214151129253
frozenset({'Instant Noodles'}),frozenset({'Carbonated Drinks - CSD'}),0.016517984079751694,1.0131406852785247,0.10893639123465304
frozenset({'Carbonated Drinks - CSD'}),frozenset({'Potato Chips'}),0.010033868072843921,1.4010015120846313,0.09331794325202185
frozenset({'Potato Chips'}),frozenset({'Carbonated Drinks - CSD'}),0.010033868072843921,1.4010015120846313,0.15064052905824699
frozenset({'Carbonated Drinks - CSD'}),frozenset({'Rice  Offsite'}),0.01172224758427572,0.7293223379485276,0.10902037249384985
frozenset({'Rice  Offsite'}),frozenset({'Carbonated Drinks - CSD'}),0.01172224758427572,0.7293223379485275,0.078419260718062
frozenset({'Carbonated Drinks - CSD'}),frozenset({'Tea'}),0.013925532605386575,0.7649304167762242,0.12951157539540217
frozenset({'Tea'}),frozenset({'Carbonated Drinks - CSD'}),0.013925532605386575,0.7649304167762243,0.08224796453250012
frozenset({'Energy Drinks'}),frozenset({'Cold Beverages'}),0.02215967556607696,2.283555304984066,0.27383657127899136
frozenset({'Cold Beverages'}),frozenset({'Energy Drinks'}),0.02215967556607696,2.2835553049840653,0.18479213517498147
frozenset({'Cold Beverages'}),frozenset({'Instant Noodles'}),0.012533169447093052,0.6892820011308611,0.10451557089507452
frozenset({'Instant Noodles'}),frozenset({'Cold Beverages'}),0.012533169447093052,0.6892820011308611,0.08265646968218006
frozenset({'Cold Beverages'}),frozenset({'Other Cuisine'}),0.012414491331201835,1.1894773242043923,0.10352590015875496
frozenset({'Other Cuisine'}),frozenset({'Cold Beverages'}),0.012414491331201835,1.1894773242043923,0.14263827609662943
frozenset({'Rice  Offsite'}),frozenset({'Cold Beverages'}),0.012780573940404032,0.7129881255884054,0.08549923150432574
frozenset({'Cold Beverages'}),frozenset({'Rice  Offsite'}),0.012780573940404032,0.7129881255884054,0.10657870599985053
frozenset({'Tea'}),frozenset({'Cold Beverages'}),0.025317545432399776,1.2469671947433032,0.14953227555321727
frozenset({'Cold Beverages'}),frozenset({'Tea'}),0.025317545432399776,1.2469671947433032,0.21112598259357143
frozenset({'Dessert Cat'}),frozenset({'Rice  Offsite'}),0.01072746969294957,1.2657250393322312,0.18920278192895734
frozenset({'Rice  Offsite'}),frozenset({'Dessert Cat'}),0.01072746969294957,1.265725039332231,0.07176441519840995
frozenset({'Edible Grocery'}),frozenset({'Instant Noodles'}),0.030352539182109534,3.481743732691114,0.5279354942324589
frozenset({'Instant Noodles'}),frozenset({'Edible Grocery'}),0.030352539182109534,3.481743732691114,0.20017552186411386
frozenset({'Tea'}),frozenset({'Energy Drinks'}),0.01114162101270725,0.8131857819392132,0.06580542919652768
frozenset({'Energy Drinks'}),frozenset({'Tea'}),0.01114162101270725,0.8131857819392131,0.13768176738473104
frozenset({'Rice  Offsite'}),frozenset({'Flavored Milk'}),0.012325143275988538,1.2101278974634238,0.08245250042694204
frozenset({'Flavored Milk'}),frozenset({'Rice  Offsite'}),0.012325143275988538,1.2101278974634238,0.18089202439316035
frozenset({'Fried Food Cat'}),frozenset({'Instant Noodles'}),0.011267631643767945,1.407453559954509,0.2134116545704248
frozenset({'Instant Noodles'}),frozenset({'Fried Food Cat'}),0.011267631643767945,1.4074535599545088,0.07431022593962405
frozenset({'Other Cuisine'}),frozenset({'Fried Food Cat'}),0.014877673278875377,3.2376333210051658,0.1709393975324667
frozenset({'Fried Food Cat'}),frozenset({'Other Cuisine'}),0.014877673278875377,3.2376333210051667,0.2817867117939644
frozenset({'Non-potato Chips'}),frozenset({'Instant Noodles'}),0.011785524474441976,0.9076245334186922,0.13762276704309415
frozenset({'Instant Noodles'}),frozenset({'Non-potato Chips'}),0.011785524474441976,0.9076245334186921,0.07772573813212498
frozenset({'Other Cuisine'}),frozenset({'Instant Noodles'}),0.011872971507203924,0.8996685073615089,0.13641639780081252
frozenset({'Instant Noodles'}),frozenset({'Other Cuisine'}),0.011872971507203924,0.8996685073615088,0.07830245282849901
frozenset({'Rice  Offsite'}),frozenset({'Instant Noodles'}),0.017597764832116634,0.7763996029564951,0.11772518013320592
frozenset({'Instant Noodles'}),frozenset({'Rice  Offsite'}),0.017597764832116634,0.7763996029564951,0.11605756400727163
frozenset({'Tea'}),frozenset({'Instant Noodles'}),0.023148478815413164,0.9016785581867626,0.13672118105234793
frozenset({'Instant Noodles'}),frozenset({'Tea'}),0.023148478815413164,0.9016785581867625,0.15266461891158534
frozenset({'Yogurt'}),frozenset({'Instant Noodles'}),0.010092528194199764,0.8854238310291462,0.13425648287970637
frozenset({'Instant Noodles'}),frozenset({'Yogurt'}),0.010092528194199764,0.8854238310291461,0.06656039832716917
frozenset({'Tea'}),frozenset({'Juice'}),0.013485038545945948,1.281346504060845,0.07964628739710383
frozenset({'Juice'}),frozenset({'Tea'}),0.013485038545945948,1.2813465040608447,0.21694679768089092
frozenset({'Potato Chips'}),frozenset({'Non-potato Chips'}),0.01584203481097998,2.777319097258437,0.23783973318764118
frozenset({'Non-potato Chips'}),frozenset({'Potato Chips'}),0.01584203481097998,2.777319097258437,0.18499173889190157
frozenset({'Snacks for Drinks'}),frozenset({'Non-potato Chips'}),0.01270154572135519,2.706023902069979,0.23173426615005005
frozenset({'Non-potato Chips'}),frozenset({'Snacks for Drinks'}),0.01270154572135519,2.706023902069979,0.1483193956864648
frozenset({'Tea'}),frozenset({'Non-potato Chips'}),0.014725591482767638,1.0156111587801095,0.08697332879937893
frozenset({'Non-potato Chips'}),frozenset({'Tea'}),0.014725591482767638,1.0156111587801095,0.1719547272248702
frozenset({'Rice  Offsite'}),frozenset({'Other Cuisine'}),0.013238720351178594,1.0175716859420438,0.08856413032814583
frozenset({'Other Cuisine'}),frozenset({'Rice  Offsite'}),0.013238720351178594,1.0175716859420438,0.15210838674246915
frozenset({'Tea'}),frozenset({'Other Cuisine'}),0.012438118324525715,0.8440636161617506,0.07346289321895791
frozenset({'Other Cuisine'}),frozenset({'Tea'}),0.012438118324525715,0.8440636161617506,0.14290974220081
frozenset({'Tea'}),frozenset({'Potato Chips'}),0.011446870903466352,1.0150176052004354,0.06760831766766542
frozenset({'Potato Chips'}),frozenset({'Tea'}),0.011446870903466352,1.0150176052004354,0.17185423173207864
frozenset({'Tea'}),frozenset({'Rice  Offsite'}),0.02390508575104916,0.94452945140681,0.14118990639095091
frozenset({'Rice  Offsite'}),frozenset({'Tea'}),0.02390508575104916,0.9445294514068099,0.15991977123173687
frozenset({'Yogurt'}),frozenset({'Rice  Offsite'}),0.011031633285165045,0.9817184769275717,0.14674898665491354
frozenset({'Rice  Offsite'}),frozenset({'Yogurt'}),0.011031633285165045,0.9817184769275717,0.07379920279928637
